mode,run,waitMs,responseMs,lowHoldMs
BASELINE,1,2422,2469,2510
BASELINE,2,2419,2466,2512
BASELINE,3,2420,2466,2512
BASELINE,4,2421,2467,2513
BASELINE,5,2426,2473,2521
BASELINE,6,2420,2467,2512
BASELINE,7,2422,2468,2515
BASELINE,8,2422,2468,2515
INHERITANCE,1,1123,1170,1216
INHERITANCE,2,1110,1156,1203
INHERITANCE,3,1122,1169,1212
INHERITANCE,4,1124,1172,1216
INHERITANCE,5,1123,1170,1216
INHERITANCE,6,1110,1157,1202
INHERITANCE,7,1110,1157,1203
INHERITANCE,8,1123,1170,1217
CEILING,1,1105,1152,1199
CEILING,2,1111,1158,1205
CEILING,3,1104,1154,1200
CEILING,4,1122,1170,1216
CEILING,5,1107,1153,1200
CEILING,6,1109,1156,1201
CEILING,7,1110,1157,1204
CEILING,8,1123,1169,1211
